node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
NPC1,9.0,0.25931,5.0,6.0,5.44,1.0,0.25,123.83333,5.65108,25.2734,496.0,0.26667,
DAPK2,24.0,0.56839,4.0,4.0,4.639,1.0,0.2,118.28333,5.53597,0.0,0.0,1.0,
TRIM21,20210.0,0.64394,12.0,12.0,13.713,2.0,0.25,131.83333,5.78058,58.71781,920.0,0.66667,
TICAM1,102.0,0.47733,9.0,9.0,6.423,1.0,0.2,121.86667,5.57554,17.90304,360.0,0.55556,
PYCARD,84.0,0.46652,8.0,8.0,8.532,1.0,0.2,123.86667,5.6295,11.15437,364.0,0.57143,
BOK,168.0,0.5854,7.0,7.0,6.839,1.0,0.2,120.61667,5.56475,8.35372,254.0,0.7619,
BMF,5160.0,0.72893,8.0,8.0,8.842,1.0,0.2,116.61667,5.46043,3.1389,56.0,0.89286,
USP10,41.0,0.40246,7.0,10.0,8.537,2.0,0.25,130.33333,5.76259,181.58158,1924.0,0.24444,
VPS41,156.0,0.40573,9.0,11.0,6.517,1.0,0.25,123.83333,5.61511,107.36382,1108.0,0.30909,
CTSA,9.0,0.37893,4.0,5.0,4.607,1.0,0.2,116.53333,5.48561,12.16316,166.0,0.4,
GRAMD1A,1.0,0.0,1.0,1.0,1.542,1.0,0.16667,86.93333,4.64029,0.0,0.0,0.0,
VPS39,4.0028181E7,0.45099,34.0,35.0,22.235,3.0,0.25,144.33333,5.88489,1000.12397,14186.0,0.3042,
SH3BP4,9.223372036854777E13,1.20641,22.0,22.0,14.147,1.0,0.2,116.53333,5.34892,0.0,0.0,1.0,
NPRL2,9.223372036854777E13,1.0466,31.0,31.0,20.159,1.0,0.2,135.28333,5.71223,61.46136,1242.0,0.77204,
ATP6V1A,9.223372036854777E13,0.99417,34.0,35.0,20.917,1.0,0.2,138.45,5.7518,410.72662,3280.0,0.67059,
ATP6V1H,9.223372036854777E13,1.23102,29.0,29.0,17.932,1.0,0.2,131.2,5.63309,12.20472,644.0,0.92857,
ATP6V0B,9.223372036854777E13,1.23102,29.0,29.0,17.901,1.0,0.2,131.2,5.63309,12.20472,644.0,0.92857,
ATP6V1G1,9.223372036854777E13,1.16516,30.0,30.0,18.822,1.0,0.2,133.03333,5.66547,66.54742,1046.0,0.86897,
ATP6V0E1,9.223372036854777E13,1.23102,29.0,29.0,17.253,1.0,0.2,131.2,5.63309,12.20472,644.0,0.92857,
ATP6V1C2,9.223372036854777E13,1.23102,29.0,29.0,19.759,1.0,0.2,131.2,5.63309,12.20472,644.0,0.92857,
ATP6V0E2,9.223372036854777E13,1.23102,29.0,30.0,18.296,2.0,0.2,131.7,5.63669,566.20472,8662.0,0.86667,
ATP6V0A2,2.0922789888764E13,0.82291,20.0,20.0,12.495,1.0,0.2,126.2,5.59353,79.15104,1554.0,0.70526,
TCIRG1,9.223372036854777E13,1.01447,33.0,33.0,19.622,2.0,0.2,141.2,5.82734,212.50098,3502.0,0.73295,
HGS,3.9916974E7,0.41441,24.0,26.0,12.342,1.0,0.25,138.16667,5.81655,572.02016,6152.0,0.28308,
CHMP4A,4.033033E7,0.66697,21.0,21.0,13.488,1.0,0.25,134.58333,5.77338,146.40907,3088.0,0.5619,
ATP6V1E1,9.223372036854777E13,1.23102,29.0,30.0,17.049,2.0,0.2,132.53333,5.65827,90.90221,1240.0,0.86667,
ATP6V1B1,9.223372036854777E13,1.16516,30.0,30.0,17.223,1.0,0.2,133.03333,5.66547,66.54742,1046.0,0.86897,
ATP6V1D,9.223372036854777E13,1.23102,29.0,30.0,17.668,2.0,0.25,132.16667,5.65108,119.53301,1514.0,0.86667,
ATP6V0A1,9.223372036854777E13,0.85127,22.0,22.0,12.585,1.0,0.2,128.2,5.6223,140.04244,1978.0,0.70563,
C19orf12,3.0,0.30779,2.0,3.0,3.153,1.0,0.2,99.6,5.05755,1.97817,10.0,0.33333,
RAB39B,72120.0,0.72071,14.0,14.0,12.864,1.0,0.25,132.25,5.77698,42.09364,928.0,0.7033,
NHLRC1,15.0,0.38896,5.0,6.0,6.191,1.0,0.25,120.16667,5.56475,11.25247,244.0,0.4,
ATP13A2,201653.0,0.69101,16.0,19.0,13.231,2.0,0.2,129.53333,5.67626,264.38282,3460.0,0.45614,
PLK3,32.0,0.42794,6.0,6.0,6.888,1.0,0.2,120.2,5.56115,1.25646,20.0,0.6,
BID,6607.0,0.62782,11.0,12.0,10.198,1.0,0.2,124.11667,5.59712,56.36604,616.0,0.56061,
MAP3K7,1490.0,0.34001,17.0,17.0,13.856,1.0,0.25,131.16667,5.73022,101.7715,1258.0,0.30882,
CSNK2B,101.0,0.40573,9.0,10.0,6.885,2.0,0.2,120.36667,5.53237,150.69548,1606.0,0.37778,
VPS11,2834.0,0.61311,13.0,15.0,11.195,1.0,0.25,131.0,5.74101,82.12987,1232.0,0.45714,
CHMP2A,4.0335218E7,0.70623,20.0,20.0,13.34,1.0,0.25,131.16667,5.70504,94.02966,2636.0,0.60526,
VTI1A,80.0,0.43736,8.0,8.0,5.291,1.0,0.2,113.03333,5.3777,9.35556,108.0,0.53571,
VPS37A,4.0279683E7,0.79954,14.0,15.0,8.788,1.0,0.2,121.28333,5.51799,88.17697,1364.0,0.67619,
VPS18,10745.0,0.51586,20.0,23.0,14.069,2.0,0.25,138.83333,5.85252,677.93556,7124.0,0.33597,
CLN3,6.0,0.30898,3.0,5.0,4.199,1.0,0.2,117.95,5.52158,10.7026,232.0,0.3,
ATP6V1C1,9.223372036854777E13,1.12823,31.0,32.0,17.2,2.0,0.2,138.2,5.76619,157.66007,2596.0,0.78024,
TP53INP2,720.0,0.71324,6.0,6.0,8.363,1.0,0.2,114.4,5.42806,0.0,0.0,1.0,
VPS35,282145.0,0.42456,35.0,36.0,22.745,2.0,0.25,147.5,5.94964,1243.71212,15600.0,0.28413,
ATP6V0D1,9.223372036854777E13,0.97482,35.0,35.0,21.909,1.0,0.2,141.28333,5.81295,169.42365,3578.0,0.69076,
RAB1A,50144.0,0.54314,22.0,22.0,18.879,1.0,0.25,138.16667,5.84532,94.647,2264.0,0.45022,
TOMM20,1.689558756512E12,0.84434,27.0,27.0,25.206,2.0,0.25,143.83333,5.93165,121.27319,2242.0,0.65242,
EIF2AK4,172506.0,0.54276,19.0,19.0,17.036,3.0,0.25,136.25,5.82734,189.43694,2822.0,0.47368,
CHMP2B,5.2005176E7,0.59764,31.0,31.0,21.582,1.0,0.2,141.61667,5.84892,360.63858,6330.0,0.44086,
EXOC4,10.0,0.2842,4.0,8.0,4.768,1.0,0.2,118.4,5.50719,55.85382,456.0,0.10714,
ATP6V0C,9.223372036854777E13,1.17133,30.0,32.0,18.766,1.0,0.2,135.36667,5.70504,116.51926,1676.0,0.76613,
RNF5,14.0,0.2041,8.0,8.0,5.555,1.0,0.2,117.73333,5.48201,59.95233,620.0,0.25,
BAG3,4.3286242E7,0.6133,26.0,26.0,24.319,2.0,0.25,143.16667,5.92446,147.86646,2576.0,0.48,
SOGA1,3.0,0.30779,2.0,3.0,2.387,1.0,0.2,100.01667,5.09712,5.95899,76.0,0.33333,
TM9SF1,7.0,0.30898,3.0,6.0,3.946,1.0,0.2,99.65,5.03957,9.74836,60.0,0.13333,
LGALS8,3628802.0,0.78053,11.0,11.0,14.558,1.0,0.2,126.7,5.66906,3.90887,108.0,0.83636,
ATP6V0D2,9.223372036854777E13,0.93227,37.0,37.0,23.886,1.0,0.2,144.45,5.86691,229.92754,5714.0,0.64865,
EVA1A,6.0,0.30898,3.0,5.0,3.997,1.0,0.2,110.98333,5.35612,18.76679,562.0,0.2,
PLEKHM1,8.7218623322E10,0.79835,20.0,20.0,19.552,1.0,0.2,134.95,5.78417,36.90723,738.0,0.68421,
DAPK1,735991.0,0.63144,17.0,18.0,17.342,2.0,0.25,138.41667,5.88129,115.63437,1772.0,0.5098,
C9orf72,103036.0,0.6036,24.0,24.0,19.533,1.0,0.25,139.66667,5.86331,103.59601,2070.0,0.48551,
PRKAG3,9.223372036854777E13,0.89699,30.0,31.0,24.762,2.0,0.25,146.5,5.96403,488.41048,5954.0,0.62581,
SMCR8,35520.0,0.68204,16.0,16.0,15.697,1.0,0.25,133.0,5.77338,26.64451,788.0,0.63333,
PRKAA2,9.223372036854777E13,0.76308,38.0,38.0,28.857,1.0,0.25,150.33333,5.9964,199.13894,5432.0,0.52632,
PRKAA1,9.223372036854777E13,0.77211,41.0,41.0,31.962,1.0,0.25,150.83333,5.98561,208.30117,5226.0,0.51951,
FAM134B,3.991692E7,0.86346,12.0,12.0,14.462,1.0,0.2,122.78333,5.57194,0.96756,42.0,0.89394,
PRKAG2,9.223372036854777E13,0.82473,34.0,34.0,28.386,1.0,0.25,148.33333,5.98201,115.56757,3768.0,0.59002,
NRBF2,3628803.0,0.78053,11.0,12.0,13.888,3.0,0.2,124.28333,5.61151,1156.08661,17862.0,0.69697,
PRKAB2,9.223372036854777E13,0.72802,36.0,36.0,27.979,2.0,0.25,148.83333,5.97842,244.71676,5264.0,0.51111,
DAP,8.0,0.46346,3.0,5.0,6.484,1.0,0.2,112.36667,5.39568,3.53812,46.0,0.3,
MFN1,9.223372036854777E13,0.89082,30.0,31.0,29.809,3.0,0.25,147.25,5.97842,414.20124,5726.0,0.62151,
ERN1,4.0101326364E11,0.8554,27.0,27.0,27.149,1.0,0.25,143.58333,5.92806,39.53299,908.0,0.66097,
RAB24,3.7881052086E10,0.77479,23.0,23.0,21.021,1.0,0.25,136.0,5.79137,173.90537,4358.0,0.63241,
VAMP8,1.314420713938E12,0.70765,26.0,26.0,23.799,1.0,0.25,139.33333,5.84173,169.71438,2932.0,0.55385,
TMEM59,122.0,0.52304,6.0,6.0,7.693,1.0,0.2,113.03333,5.40288,7.66953,132.0,0.73333,
NBR1,9.223372036854777E13,0.88093,57.0,58.0,40.65,4.0,0.25,162.08333,6.10432,601.022,10732.0,0.51482,
ATG9A,9.223372036854777E13,0.91835,50.0,50.0,34.478,2.0,0.25,155.58333,6.02158,525.41264,8448.0,0.57959,
ULK1,9.223372036854777E13,0.73246,82.0,82.0,46.949,6.0,0.25,177.33333,6.26259,1367.95162,28372.0,0.39536,
ATG2B,9.223372036854777E13,1.20845,34.0,34.0,31.684,2.0,0.2,141.78333,5.83094,47.5383,946.0,0.86453,
WIPI2,9.223372036854777E13,1.08302,45.0,45.0,35.528,1.0,0.25,152.66667,5.9964,200.00322,4126.0,0.70707,
ATG2A,9.223372036854777E13,1.21438,35.0,35.0,28.176,1.0,0.2,142.28333,5.83453,48.00433,982.0,0.8605,
ATG16L2,9.223372036854777E13,1.17943,32.0,32.0,28.121,1.0,0.2,140.28333,5.81295,134.09059,4698.0,0.86089,
ATG4A,9.223372036854777E13,1.15733,32.0,32.0,29.153,2.0,0.25,140.83333,5.83094,209.66481,3204.0,0.84476,
ATG4D,9.223372036854777E13,1.16609,34.0,35.0,29.695,1.0,0.2,146.53333,5.92806,79.10604,1988.0,0.78655,
ULK2,9.223372036854777E13,0.95358,53.0,53.0,38.769,3.0,0.25,159.16667,6.07914,270.26605,7530.0,0.59071,
MAP1LC3B2,9.223372036854777E13,0.94353,26.0,26.0,22.218,1.0,0.25,137.41667,5.79856,30.65446,836.0,0.73846,
WDFY3,9.223372036854777E13,0.98884,32.0,32.0,29.055,1.0,0.25,141.83333,5.85252,166.4158,2726.0,0.72177,
ZFYVE1,9.223372036854777E13,0.992,38.0,38.0,28.819,4.0,0.25,148.75,5.96043,269.2985,4238.0,0.68421,
CALCOCO2,9.223372036854777E13,1.0331,41.0,41.0,35.367,1.0,0.25,151.08333,5.98921,124.95996,3204.0,0.69512,
WDR45B,9.223372036854777E13,1.11769,20.0,21.0,21.768,1.0,0.2,131.78333,5.70863,75.78068,3108.0,0.86667,
BNIP3L,9.223372036854777E13,1.02947,41.0,41.0,35.584,1.0,0.25,152.41667,6.01799,71.81228,2252.0,0.69268,
WDR45,9.223372036854777E13,1.21796,29.0,31.0,30.591,2.0,0.25,140.5,5.83094,404.56477,8034.0,0.8043,
KIAA0226,9.223372036854777E13,0.9336,32.0,32.0,28.383,1.0,0.2,144.61667,5.91007,278.93528,6764.0,0.68145,
OPTN,9.223372036854777E13,0.79164,48.0,48.0,33.802,1.0,0.25,151.83333,5.95324,369.76703,6110.0,0.50621,
EPG5,9.223372036854777E13,1.14286,29.0,30.0,29.099,2.0,0.2,139.45,5.80935,570.09566,10958.0,0.8046,
VMP1,9.223372036854777E13,1.20523,30.0,30.0,29.611,2.0,0.2,138.78333,5.79496,23.72318,584.0,0.89885,
WIPI1,9.223372036854777E13,0.978,51.0,51.0,36.887,3.0,0.25,155.75,6.01799,370.64143,5722.0,0.61333,
DRAM1,9.223372036854777E13,0.82588,32.0,32.0,26.896,1.0,0.25,147.08333,5.96763,473.04067,7236.0,0.60282,
ATG10,9.223372036854777E13,1.20682,43.0,43.0,35.723,1.0,0.25,150.75,5.96763,37.3558,1722.0,0.79956,
ARSB,1.0,0.0,1.0,1.0,1.119,1.0,0.14286,68.85952,3.85971,0.0,0.0,0.0,
PSAP,8.0,0.25931,5.0,5.0,4.678,3.0,0.2,110.61667,5.35252,149.63264,2038.0,0.4,
ARSA,3.0,0.30779,2.0,3.0,1.984,2.0,0.16667,92.13333,4.85612,554.0,6760.0,0.33333,
SH3GLB1,9.223372036854777E13,1.00238,23.0,24.0,25.97,2.0,0.2,135.78333,5.77338,111.44026,1576.0,0.75,
SCOC,4.0,0.30779,2.0,4.0,3.171,1.0,0.2,106.28333,5.23381,25.35051,256.0,0.16667,
SYNPO2,7.0,0.2842,4.0,5.0,3.906,1.0,0.2,111.65,5.3705,23.90324,180.0,0.3,
ARFIP2,4.0,0.0,1.0,4.0,3.276,1.0,0.2,113.2,5.41727,40.38593,456.0,0.0,
CLTC,6086.0,0.41184,25.0,25.0,19.445,1.0,0.25,143.0,5.92806,302.34595,5252.0,0.32667,
DDIT3,8.159357254848E12,0.89209,31.0,31.0,27.167,1.0,0.25,146.25,5.95683,56.82724,1402.0,0.65806,
TPCN1,12.0,0.47366,4.0,4.0,6.998,1.0,0.2,119.98333,5.56475,0.87178,34.0,0.83333,
SESN3,8.347824E7,0.87947,16.0,16.0,16.03,1.0,0.2,128.7,5.67266,8.2452,240.0,0.81667,
ATG13,9.223372036854777E13,0.79589,67.0,67.0,43.851,4.0,0.25,165.75,6.1223,807.18246,17658.0,0.45771,
CAPN1,55496.0,0.6642,13.0,15.0,12.375,3.0,0.2,131.11667,5.73381,982.67545,10800.0,0.49524,
ATG12,9.223372036854777E13,0.91332,66.0,66.0,45.555,1.0,0.25,168.41667,6.18345,459.2118,13870.0,0.52774,
NEDD4,2220742.0,0.54837,22.0,24.0,19.421,3.0,0.25,144.41667,5.96763,693.16618,8448.0,0.38043,
PARK7,2.306606502E9,0.6143,40.0,40.0,26.281,2.0,0.25,151.75,6.01079,571.53425,9142.0,0.41667,
EIF4G1,1215597.0,0.54314,22.0,23.0,16.21,1.0,0.2,140.2,5.8777,362.28925,4718.0,0.41107,
LAMP2,9.223372036854777E13,0.72152,57.0,57.0,40.168,4.0,0.25,163.33333,6.14029,957.53717,18454.0,0.43672,
SESN1,9.223372036854777E13,0.81736,43.0,43.0,25.89,9.0,0.25,150.25,5.95683,429.85148,6922.0,0.54153,
ATG4B,9.223372036854777E13,1.09428,42.0,42.0,33.734,1.0,0.25,152.08333,6.0036,129.51277,3566.0,0.73055,
BCL2,4.79394384E8,0.68958,21.0,21.0,18.765,1.0,0.25,136.25,5.80935,44.67576,1148.0,0.58095,
ATG16L1,9.223372036854777E13,0.87275,59.0,59.0,39.969,1.0,0.25,162.91667,6.11511,584.82137,12108.0,0.5225,
FOXO1,9.223372036854777E13,0.81876,50.0,50.0,36.744,5.0,0.25,157.5,6.06475,204.65934,5858.0,0.51673,
PINK1,9.223372036854777E13,0.83479,63.0,64.0,41.541,2.0,0.25,167.66667,6.18345,1130.02839,20028.0,0.47421,
MAP1LC3A,9.223372036854777E13,0.74776,76.0,76.0,44.399,10.0,0.25,174.08333,6.23381,1061.37234,23810.0,0.41333,
RRAGC,9.223372036854777E13,0.7958,48.0,48.0,30.039,3.0,0.25,152.66667,5.97122,434.06569,10224.0,0.50887,
RRAGD,9.223372036854777E13,0.85868,45.0,46.0,27.804,2.0,0.25,152.5,5.98201,909.44798,14004.0,0.53623,
ATG5,9.223372036854777E13,0.77427,84.0,84.0,49.025,6.0,0.25,178.33333,6.26978,1435.09876,26980.0,0.4148,
LAMTOR2,9.223372036854777E13,0.89421,42.0,42.0,27.191,1.0,0.25,149.5,5.94604,382.62336,7270.0,0.59698,
PIK3C2B,10128.0,0.61085,11.0,11.0,9.6,1.0,0.2,127.45,5.68705,36.88806,502.0,0.65455,
EXOC8,1570.0,0.47511,11.0,13.0,12.268,1.0,0.2,129.95,5.72662,166.70425,2272.0,0.35897,
DRD2,24.0,0.42794,6.0,6.0,6.8,1.0,0.2,116.95,5.48561,1.22963,40.0,0.6,
ATG7,9.223372036854777E13,0.73091,91.0,91.0,50.583,4.0,0.25,181.83333,6.29496,1745.07386,33968.0,0.38193,
LAMTOR4,9.223372036854777E13,1.00438,38.0,38.0,24.793,1.0,0.25,144.66667,5.8705,132.79525,4818.0,0.69275,
PTK2,1.357270344E9,0.6892,25.0,25.0,22.443,1.0,0.25,139.91667,5.85971,87.89171,2010.0,0.54667,
MTDH,2.0,0.30779,2.0,2.0,2.705,1.0,0.2,109.73333,5.34532,0.0,0.0,1.0,
GATA4,51122.0,0.67321,12.0,12.0,11.963,1.0,0.2,128.61667,5.70144,7.79655,178.0,0.69697,
LEPR,61320.0,0.62819,16.0,16.0,12.305,1.0,0.2,127.4,5.64029,15.60863,318.0,0.58333,
TBK1,9.223372036854777E13,0.54972,50.0,50.0,35.703,8.0,0.25,159.08333,6.09712,1812.71176,23362.0,0.34694,
STK11,8.810765441404E12,0.74034,48.0,50.0,36.631,4.0,0.25,158.83333,6.09353,1689.34048,19492.0,0.43592,
GSK3B,4.4600737963922E13,0.69033,43.0,43.0,30.098,2.0,0.25,153.33333,6.02518,338.54522,5908.0,0.45736,
CDK5R1,364.0,0.45814,11.0,11.0,9.872,1.0,0.2,123.7,5.60072,29.86276,384.0,0.49091,
LEP,4.4069372886E10,0.76599,28.0,28.0,22.141,1.0,0.2,137.28333,5.77338,75.49004,1104.0,0.58466,
GABARAP,9.223372036854777E13,0.72394,73.0,73.0,43.323,3.0,0.25,170.91667,6.18705,1160.00336,21968.0,0.40525,
ITPR1,38319.0,0.48515,20.0,21.0,16.839,2.0,0.25,137.0,5.82734,194.33932,2462.0,0.37619,
LRRK2,5.444894916188E12,0.58852,50.0,50.0,30.711,1.0,0.25,160.33333,6.1259,873.37589,16432.0,0.37143,
TSC1,9.223372036854777E13,0.82048,33.0,33.0,28.126,1.0,0.25,146.83333,5.95683,118.91295,2958.0,0.5928,
PIK3CB,8.0030424E7,0.64888,23.0,23.0,20.397,1.0,0.25,140.58333,5.89209,90.55253,2082.0,0.52964,
FLCN,9.223372036854777E13,0.89095,38.0,38.0,24.299,1.0,0.25,146.91667,5.92086,225.9029,5276.0,0.61451,
UCHL1,7786925.0,0.66846,18.0,19.0,15.06,1.0,0.2,135.61667,5.80576,190.67172,2450.0,0.53216,
MAP1LC3B,9.223372036854777E13,0.72894,85.0,85.0,48.05,2.0,0.25,178.5,6.26619,1586.62746,29630.0,0.38908,
GABARAPL1,9.223372036854777E13,0.72397,81.0,81.0,46.743,2.0,0.25,176.75,6.2554,1508.0835,30540.0,0.39228,
PIK3C2A,10524.0,0.54053,14.0,14.0,12.656,1.0,0.2,132.45,5.77338,62.12918,824.0,0.52747,
KDR,2.62060594E8,0.66047,26.0,26.0,21.17,1.0,0.25,141.5,5.88849,94.31604,2338.0,0.51692,
RRAGB,9.223372036854777E13,0.82048,47.0,47.0,28.202,2.0,0.25,152.58333,5.97842,527.00938,11590.0,0.52821,
RHEB,9.223372036854777E13,0.70401,68.0,68.0,41.635,2.0,0.25,167.16667,6.14388,1589.84259,30276.0,0.40299,
LAMTOR5,9.223372036854777E13,0.97086,39.0,39.0,26.512,1.0,0.25,146.16667,5.89568,217.87436,6144.0,0.66397,
SESN2,9.223372036854777E13,0.78915,51.0,51.0,32.269,1.0,0.25,156.33333,6.03237,607.79981,12820.0,0.4949,
